iter	Passed	Remaining
747	3146	3163
748	3152	3160
749	3157	3157
750	3161	3153
751	3166	3150
752	3172	3147
753	3177	3143
754	3183	3140
755	3187	3137
756	3192	3133
757	3196	3129
758	3201	3125
759	3206	3121
760	3211	3118
761	3215	3114
762	3220	3110
763	3224	3106
764	3229	3102
765	3233	3098
766	3237	3094
767	3241	3089
768	3246	3086
769	3251	3082
770	3255	3077
771	3259	3073
772	3263	3069
773	3267	3064
774	3271	3060
775	3275	3055
776	3279	3052
777	3283	3047
778	3288	3043
779	3292	3039
780	3296	3034
781	3300	3030
782	3304	3026
783	3308	3021
784	3312	3017
785	3316	3013
786	3320	3008
787	3324	3003
788	3327	2998
789	3330	2993
790	3335	2989
791	3339	2985
792	3343	2980
793	3347	2976
794	3351	2972
795	3356	2968
796	3360	2964
797	3365	2960
798	3369	2956
799	3374	2952
800	3379	2949
801	3383	2945
802	3389	2941
803	3390	2935
804	3395	2931
805	3400	2927
806	3405	2924
807	3411	2921
808	3416	2918
809	3421	2914
810	3427	2911
811	3433	2908
812	3438	2905
813	3443	2902
814	3448	2898
815	3452	2894
816	3458	2890
817	3463	2887
818	3468	2884
819	3474	2881
820	3479	2877
821	3483	2873
822	3488	2869
823	3493	2866
824	3498	2862
825	3500	2856
826	3505	2852
827	3511	2849
828	3516	2846
829	3528	2848
830	3533	2844
831	3538	2841
832	3543	2837
833	3547	2832
834	3551	2828
835	3556	2824
836	3560	2820
837	3565	2816
838	3570	2812
839	3574	2808
840	3579	2804
841	3583	2800
842	3588	2796
843	3593	2792
844	3598	2789
845	3603	2785
846	3608	2781
847	3612	2777
848	3617	2773
849	3622	2769
850	3627	2766
851	3631	2761
852	3635	2757
853	3640	2754
854	3646	2750
855	3651	2747
856	3656	2743
857	3662	2740
858	3667	2736
859	3671	2732
860	3672	2725
861	3677	2721
862	3682	2717
863	3687	2714
864	3691	2710
865	3697	2706
866	3702	2703
867	3706	2698
868	3711	2695
869	3716	2691
870	3721	2687
871	3725	2683
872	3730	2679
873	3736	2676
874	3741	2672
875	3745	2668
876	3747	2661
877	3751	2657
878	3756	2653
879	3762	2650
880	3767	2647
881	3772	2643
882	3777	2639
883	3784	2637
884	3789	2633
885	3795	2630
886	3800	2626
887	3804	2621
888	3811	2619
889	3816	2615
890	3821	2612
891	3827	2608
892	3832	2605
893	3837	2601
894	3842	2597
895	3847	2593
896	3851	2589
897	3853	2583
898	3857	2578
899	3862	2574
900	3866	2570
901	3871	2566
902	3876	2562
903	3880	2558
904	3885	2554
905	3890	2550
906	3895	2546
907	3900	2542
908	3904	2538
909	3907	2533
910	3912	2529
911	3918	2526
912	3922	2522
913	3927	2517
914	3932	2514
915	3937	2510
916	3942	2506
917	3946	2502
918	3950	2497
919	3955	2493
920	3960	2489
921	3965	2485
922	3969	2481
923	3973	2476
924	3977	2472
925	3981	2467
926	3985	2463
927	3989	2459
928	3993	2454
929	3997	2450
930	4001	2445
931	4006	2441
932	4010	2437
933	4014	2433
934	4019	2428
935	4023	2424
936	4027	2420
937	4031	2415
938	4035	2411
939	4040	2406
940	4044	2402
941	4048	2398
942	4053	2394
943	4062	2392
944	4066	2388
945	4071	2384
946	4075	2379
947	4079	2375
948	4083	2371
949	4087	2366
950	4090	2361
951	4094	2356
952	4097	2352
953	4102	2347
954	4106	2343
955	4110	2338
956	4114	2334
957	4119	2330
958	4122	2325
959	4127	2321
960	4131	2317
961	4135	2312
962	4139	2308
963	4143	2303
964	4144	2297
965	4149	2293
966	4153	2289
967	4155	2283
968	4159	2279
969	4163	2274
970	4167	2270
971	4171	2266
972	4175	2261
973	4179	2257
974	4183	2252
975	4188	2248
976	4192	2244
977	4196	2240
978	4201	2235
979	4206	2231
980	4212	2228
981	4217	2224
982	4221	2220
983	4226	2216
984	4230	2212
985	4235	2207
986	4239	2203
987	4245	2199
988	4249	2195
989	4253	2191
990	4258	2187
991	4262	2182
992	4266	2178
993	4271	2174
994	4275	2170
995	4279	2165
996	4284	2161
997	4288	2157
998	4292	2152
999	4297	2148
1000	4301	2144
1001	4306	2140
1002	4310	2135
1003	4314	2131
1004	4316	2126
1005	4320	2121
1006	4325	2117
1007	4329	2113
1008	4333	2108
1009	4337	2104
1010	4342	2100
1011	4346	2096
1012	4350	2091
1013	4355	2087
1014	4360	2083
1015	4365	2079
1016	4368	2074
1017	4375	2071
1018	4383	2069
1019	4387	2064
1020	4395	2061
1021	4408	2061
1022	4418	2060
1023	4422	2055
1024	4427	2051
1025	4432	2047
1026	4437	2043
1027	4442	2039
1028	4449	2036
1029	4453	2032
1030	4457	2027
1031	4461	2023
1032	4465	2018
1033	4466	2013
1034	4471	2008
1035	4475	2004
1036	4479	1999
1037	4483	1995
1038	4487	1991
1039	4491	1986
1040	4495	1982
1041	4498	1977
1042	4502	1972
1043	4506	1968
1044	4511	1964
1045	4516	1960
1046	4519	1955
1047	4524	1951
1048	4528	1947
1049	4532	1942
1050	4536	1938
1051	4540	1933
1052	4544	1929
1053	4548	1924
1054	4553	1920
1055	4557	1916
1056	4560	1911
1057	4564	1907
1058	4569	1902
1059	4573	1898
1060	4577	1893
1061	4581	1889
1062	4585	1885
1063	4590	1880
1064	4594	1876
1065	4598	1872
1066	4602	1867
1067	4606	1863
1068	4611	1859
1069	4615	1854
1070	4619	1850
1071	4624	1846
1072	4628	1841
1073	4632	1837
1074	4637	1833
1075	4641	1829
1076	4646	1824
1077	4650	1820
1078	4654	1816
1079	4659	1811
1080	4663	1807
1081	4667	1802
1082	4671	1798
1083	4675	1794
1084	4679	1789
1085	4683	1785
1086	4687	1781
1087	4691	1776
1088	4692	1771
1089	4696	1766
1090	4700	1762
1091	4704	1757
1092	4708	1753
1093	4712	1749
1094	4717	1744
1095	4721	1740
1096	4725	1735
1097	4729	1731
1098	4734	1727
1099	4738	1722
1100	4742	1718
1101	4747	1714
1102	4751	1710
1103	4755	1705
1104	4759	1701
1105	4764	1697
1106	4768	1692
1107	4772	1688
1108	4776	1683
1109	4780	1679
1110	4784	1675
1111	4788	1670
1112	4792	1666
1113	4796	1661
1114	4800	1657
1115	4804	1653
1116	4808	1648
1117	4812	1644
1118	4816	1640
1119	4821	1635
1120	4825	1631
1121	4829	1627
1122	4834	1622
1123	4839	1618
1124	4843	1614
1125	4847	1610
1126	4852	1605
1127	4855	1601
1128	4859	1597
1129	4864	1592
1130	4868	1588
1131	4872	1583
1132	4876	1579
1133	4880	1575
1134	4884	1570
1135	4888	1566
1136	4893	1562
1137	4897	1557
1138	4900	1553
1139	4904	1548
1140	4909	1544
1141	4913	1540
1142	4917	1535
1143	4922	1531
1144	4926	1527
1145	4930	1523
1146	4934	1518
1147	4938	1514
1148	4942	1509
1149	4946	1505
1150	4950	1501
1151	4954	1496
1152	4959	1492
1153	4963	1488
1154	4967	1483
1155	4971	1479
1156	4975	1475
1157	4979	1470
1158	4983	1466
1159	4987	1461
1160	4992	1457
1161	4996	1453
1162	5000	1448
1163	5005	1444
1164	5009	1440
1165	5013	1436
1166	5017	1431
1167	5022	1427
1168	5026	1423
1169	5030	1418
1170	5035	1414
1171	5040	1410
1172	5045	1406
1173	5050	1402
1174	5056	1398
1175	5062	1394
1176	5067	1390
1177	5071	1386
1178	5077	1382
1179	5083	1378
1180	5090	1374
1181	5095	1370
1182	5100	1366
1183	5106	1362
1184	5111	1358
1185	5117	1354
1186	5122	1350
1187	5127	1346
1188	5132	1342
1189	5138	1338
1190	5143	1334
1191	5148	1330
1192	5153	1326
1193	5159	1322
1194	5164	1318
1195	5169	1313
1196	5173	1309
1197	5178	1305
1198	5183	1301
1199	5185	1296
1200	5190	1292
1201	5194	1287
1202	5199	1283
1203	5205	1279
1204	5205	1274
1205	5206	1269
1206	5211	1265
1207	5215	1260
1208	5220	1256
1209	5225	1252
1210	5229	1247
1211	5234	1243
1212	5238	1239
1213	5243	1235
1214	5247	1230
1215	5252	1226
1216	5256	1222
1217	5260	1217
1218	5261	1212
1219	5265	1208
1220	5269	1204
1221	5274	1199
1222	5279	1195
1223	5283	1191
1224	5288	1187
1225	5295	1183
1226	5303	1179
1227	5309	1176
1228	5315	1172
1229	5320	1167
1230	5325	1163
1231	5330	1159
1232	5335	1155
1233	5340	1151
1234	5345	1146
1235	5350	1142
1236	5354	1138
1237	5359	1134
1238	5364	1129
1239	5368	1125
1240	5374	1121
1241	5379	1117
1242	5383	1113
1243	5387	1108
1244	5392	1104
1245	5396	1100
1246	5400	1095
1247	5405	1091
1248	5410	1087
1249	5414	1082
1250	5419	1078
1251	5424	1074
1252	5428	1070
1253	5431	1065
1254	5436	1061
1255	5441	1057
1256	5446	1052
1257	5451	1048
1258	5455	1044
1259	5460	1040
1260	5464	1035
1261	5469	1031
1262	5473	1027
1263	5477	1022
1264	5481	1018
1265	5485	1013
1266	5490	1009
1267	5495	1005
1268	5499	1001
1269	5504	996
1270	5508	992
1271	5512	988
1272	5513	983
1273	5517	978
1274	5521	974
1275	5525	970
1276	5530	965
1277	5534	961
1278	5538	957
1279	5542	952
1280	5548	948
1281	5551	944
1282	5556	939
1283	5560	935
1284	5563	930
1285	5568	926
1286	5571	922
1287	5575	917
1288	5579	913
1289	5584	909
1290	5588	904
1291	5592	900
1292	5596	895
1293	5601	891
1294	5605	887
1295	5609	883
1296	5614	878
1297	5618	874
1298	5622	870
1299	5627	865
1300	5631	861
1301	5636	857
1302	5640	852
1303	5644	848
1304	5647	843
1305	5647	838
1306	5651	834
1307	5656	830
1308	5661	826
1309	5666	821
1310	5671	817
1311	5675	813
1312	5679	808
1313	5683	804
1314	5687	800
1315	5691	795
1316	5696	791
1317	5700	787
1318	5703	782
1319	5708	778
1320	5713	774
1321	5718	769
1322	5722	765
1323	5728	761
1324	5729	756
1325	5733	752
1326	5738	748
1327	5743	743
1328	5747	739
1329	5747	734
1330	5753	730
1331	5757	726
1332	5761	721
1333	5765	717
1334	5768	712
1335	5772	708
1336	5777	704
1337	5780	699
1338	5784	695
1339	5788	691
1340	5792	686
1341	5797	682
1342	5801	678
1343	5805	673
1344	5809	669
1345	5813	665
1346	5818	660
1347	5822	656
1348	5826	652
1349	5830	647
1350	5835	643
1351	5839	639
1352	5843	634
1353	5848	630
1354	5853	626
1355	5857	622
1356	5861	617
1357	5865	613
1358	5870	609
1359	5874	604
1360	5879	600
1361	5884	596
1362	5889	591
1363	5893	587
1364	5898	583
1365	5902	579
1366	5903	574
1367	5908	570
1368	5913	565
1369	5919	561
1370	5925	557
1371	5929	553
1372	5933	548
1373	5938	544
1374	5942	540
1375	5947	535
1376	5951	531
1377	5955	527
1378	5959	522
1379	5961	518
1380	5965	514
1381	5969	509
1382	5973	505
1383	5977	501
1384	5981	496
1385	5985	492
1386	5989	487
1387	5994	483
1388	5998	479
1389	6002	475
1390	6007	470
1391	6011	466
1392	6015	462
1393	6019	457
1394	6023	453
1395	6027	449
1396	6031	444
1397	6035	440
1398	6038	435
1399	6042	431
1400	6047	427
1401	6051	423
1402	6055	418
1403	6059	414
1404	6064	410
1405	6067	405
1406	6071	401
1407	6072	396
1408	6076	392
1409	6080	388
1410	6085	383
1411	6089	379
1412	6093	375
1413	6098	370
1414	6102	366
1415	6106	362
1416	6111	357
1417	6115	353
1418	6116	349
1419	6120	344
1420	6124	340
1421	6128	336
1422	6133	331
1423	6136	327
1424	6141	323
1425	6146	318
1426	6150	314
1427	6154	310
1428	6159	306
1429	6163	301
1430	6167	297
1431	6171	293
1432	6176	288
1433	6180	284
1434	6184	280
1435	6189	275
1436	6193	271
1437	6198	267
1438	6202	262
1439	6207	258
1440	6212	254
1441	6217	250
1442	6222	245
1443	6226	241
1444	6231	237
1445	6235	232
1446	6240	228
1447	6242	224
1448	6247	219
1449	6251	215
1450	6255	211
1451	6259	206
1452	6264	202
1453	6268	198
1454	6272	193
1455	6276	189
1456	6280	185
1457	6285	181
1458	6288	176
1459	6294	172
1460	6299	168
1461	6303	163
1462	6312	159
1463	6317	155
1464	6322	151
1465	6326	146
1466	6330	142
1467	6334	138
1468	6338	133
1469	6342	129
1470	6346	125
1471	6351	120
1472	6355	116
1473	6359	112
1474	6363	107
1475	6368	103
1476	6372	99
1477	6376	94
1478	6380	90
1479	6384	86
1480	6389	81
1481	6393	77
1482	6398	73
1483	6402	69
1484	6406	64
1485	6410	60
1486	6414	56
1487	6418	51
1488	6422	47
1489	6427	43
1490	6431	38
1491	6435	34
1492	6440	30
1493	6444	25
1494	6449	21
1495	6453	17
1496	6457	12
1497	6461	8
1498	6465	4
1499	6470	0
